03:13:43.547 >> responsesCount.size(): 0
03:13:43.550 NEW:0 >> Node UUID is: ebbc51e1-53fb-45eb-b13e-f469138eae28
03:13:43.550 NEW:0 >> Local address is: 169.254.193.255
03:13:43.593 FLW:1 >> S_NEW => S_FLW >> Timeout achieved
03:13:43.694 FLW:1 >> New node with UUID ef7fa2c9-544b-42ac-b6ab-6f092de3a025 and IP 169.254.193.255 was discovered
03:13:43.727 FLW:1 >> New node with UUID a5abb75c-1127-482d-8951-2ed8a25b0211 and IP 169.254.193.255 was discovered
03:13:43.996 FLW:1 >> New node with UUID 09f2524d-2429-44b4-8d8f-12ed7e671070 and IP 169.254.193.255 was discovered
03:13:44.005 FLW:1 >> New node with UUID 217825cb-55b4-4446-b4e9-23a9fc004d4f and IP 169.254.193.255 was discovered
03:13:57.777 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:58.275 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:58.775 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:59.276 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:13:59.775 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:00.275 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:00.775 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:01.276 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:01.776 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:02.281 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:02.785 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:03.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:03.782 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:04.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:04.784 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:05.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:05.781 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:06.280 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:06.781 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:07.282 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:07.782 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:08.281 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:08.781 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:09.282 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:09.781 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:10.281 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:10.781 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:11.281 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:11.781 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:12.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:12.785 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:13.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:13.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:14.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:14.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:15.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:15.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:16.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:16.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:17.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:17.784 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:18.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:18.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:19.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:19.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:20.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:20.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:21.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:21.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:22.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:22.784 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:23.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:23.784 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:24.285 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:24.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:25.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:25.783 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:26.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:26.784 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:27.283 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:27.785 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:28.284 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:14:30.483 FLW:3 >> S_FLW => S_FLW >> Election request from the higher term #3.
03:14:30.488 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:14:30.488 FLW:3 >> It took 1 consecutive elections to achieve consensus.
03:14:30.988 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:14:33.052 FLW:4 >> S_FLW => S_FLW >> Election request from the higher term #4.
03:17:09.411 >> responsesCount.size(): 0
03:17:09.414 NEW:0 >> Node UUID is: f53ee513-972d-4764-82cd-97c7f1b8590e
03:17:09.415 NEW:0 >> Local address is: 169.254.193.255
03:17:09.455 FLW:1 >> S_NEW => S_FLW >> Timeout achieved
03:17:09.458 FLW:1 >> New node with UUID dcc10ccf-ae63-45e3-bfa9-3006d26a57aa and IP 169.254.193.255 was discovered
03:17:09.526 FLW:1 >> New node with UUID 25c388de-bf51-44d6-8afc-b7099ca37cf8 and IP 169.254.193.255 was discovered
03:17:11.264 FLW:2 >> S_FLW => S_FLW >> Election request from the higher term #2.
03:17:11.274 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:11.276 FLW:2 >> It took 2 consecutive elections to achieve consensus.
03:17:11.304 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:11.809 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:12.306 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:12.802 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:13.306 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:13.806 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:14.304 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:14.803 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:15.303 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:15.803 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:16.303 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:16.804 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:17.304 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:17.804 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:18.305 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:18.804 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:19.304 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:19.804 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:20.305 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:20.804 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:21.306 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:21.806 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:22.306 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:22.806 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:23.307 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:23.806 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:24.306 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:24.807 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:25.307 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:25.807 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:26.307 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:26.812 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:27.310 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:27.810 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:28.311 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:28.814 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:29.320 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:29.811 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:30.311 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:30.814 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:31.311 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:31.812 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:32.311 FLW:2 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #2
03:17:34.147 FLW:2 >> New node with UUID 2a97bdbc-e044-44ca-a660-15d31078c878 and IP 169.254.193.255 was discovered
03:17:34.154 FLW:3 >> S_FLW => S_FLW >> Election request from the higher term #3.
03:17:34.160 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:34.162 FLW:3 >> It took 1 consecutive elections to achieve consensus.
03:17:34.658 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:35.158 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:35.659 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:36.159 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:36.659 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:37.159 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:37.659 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:38.158 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:38.658 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:39.159 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:39.659 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:40.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:40.659 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:41.159 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:41.658 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:42.159 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:42.660 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:43.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:43.660 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:44.164 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:44.663 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:45.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:45.662 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:46.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:46.662 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:47.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:47.662 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:48.163 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:48.663 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:49.164 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:49.663 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:50.168 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:50.663 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:51.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:51.664 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:52.163 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:52.663 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:53.163 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:53.661 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:54.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:54.662 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:55.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:55.661 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:56.162 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:56.662 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:56.990 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.488 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.516 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.551 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.589 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.627 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.666 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.702 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.737 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.776 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.813 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.852 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.887 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.926 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:57.962 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.002 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.036 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.077 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.109 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.147 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.184 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.222 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.260 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.298 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.335 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.371 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.409 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.448 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.484 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.521 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.557 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.597 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.631 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:58.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:59.170 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:17:59.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:00.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:00.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:01.170 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:01.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:02.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:02.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:03.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:03.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:04.172 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:04.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:05.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:05.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:06.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:06.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:07.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:07.670 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:08.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:08.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:09.170 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:09.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:10.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:10.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:11.171 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:11.670 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:12.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:12.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:13.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:13.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:14.170 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:14.670 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:15.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:15.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:16.169 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:16.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:17.170 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:17.670 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:18.170 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:18.669 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:19.172 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:19.671 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:20.171 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:20.671 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:21.171 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:21.671 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:22.171 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:22.671 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:23.171 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:23.671 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:24.173 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:24.672 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:25.172 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:25.672 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:26.172 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:26.672 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
03:18:27.172 FLW:3 >> S_FLW => S_FLW >> Heartbeat: Leader with the same term #3
